id,title,text,label
203,New species discovered in Amazon rainforest,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
204,Secret tunnel to Atlantis discovered in the Sahara,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
205,New species discovered in Amazon rainforest,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
206,Scientists say Earth is flat again,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
207,NASA successfully lands rover on Mars,Scientists believe this discovery could reshape our understanding of biodiversity.,1
208,"Aliens found living under Antarctica, whistleblower claims",A man in Ohio claims to have bent time using a blender and a car battery.,0
209,Researchers develop promising cancer vaccine,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
210,Time travel possible with household blender,An anonymous inventor says his invisible car was buried after threats from oil companies.,0
211,"Economy shows signs of recovery, says central bank",Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
212,Government to ban sleep by 2030 to boost productivity,A former government agent claims extraterrestrials are controlling the weather.,0
213,Researchers develop promising cancer vaccine,Scientists believe this discovery could reshape our understanding of biodiversity.,1
214,"Invisible car invented, but hidden by oil companies",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
215,NASA successfully lands rover on Mars,The latest report indicates improved GDP growth and lower unemployment rates.,1
216,"Invisible car invented, but hidden by oil companies",A conspiracy site says vaccinated individuals are developing telekinesis.,0
217,New species discovered in Amazon rainforest,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
218,"Invisible car invented, but hidden by oil companies",A former government agent claims extraterrestrials are controlling the weather.,0
219,NASA successfully lands rover on Mars,The latest report indicates improved GDP growth and lower unemployment rates.,1
220,Secret tunnel to Atlantis discovered in the Sahara,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
221,"Economy shows signs of recovery, says central bank","In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
222,"Drinking saltwater cures all diseases, experts say",Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
223,New species discovered in Amazon rainforest,The initiative will benefit over 10 million students by 2026.,1
224,"Invisible car invented, but hidden by oil companies",Images allegedly leaked from NASA show cheese formations on the moon.,0
225,WHO approves new malaria vaccine,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
226,"Drinking saltwater cures all diseases, experts say",Images allegedly leaked from NASA show cheese formations on the moon.,0
227,WHO approves new malaria vaccine,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
228,Scientists say Earth is flat again,A former government agent claims extraterrestrials are controlling the weather.,0
229,New species discovered in Amazon rainforest,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
230,COVID vaccine gives people superpowers,A conspiracy site says vaccinated individuals are developing telekinesis.,0
231,Researchers develop promising cancer vaccine,The initiative will benefit over 10 million students by 2026.,1
232,Moon made of cheese confirmed by leaked NASA report,"A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
233,Education ministry rolls out digital classrooms,Field tests in Africa have shown significant reduction in malaria cases among children.,1
234,"Invisible car invented, but hidden by oil companies","A trending TikTok video promotes saltwater as a miracle cure, ignoring medical advice.",0
235,"Economy shows signs of recovery, says central bank",Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
236,Scientists say Earth is flat again,Images allegedly leaked from NASA show cheese formations on the moon.,0
237,Education ministry rolls out digital classrooms,Scientists believe this discovery could reshape our understanding of biodiversity.,1
238,Scientists say Earth is flat again,A conspiracy site says vaccinated individuals are developing telekinesis.,0
239,UN adopts climate change resolution,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
240,Moon made of cheese confirmed by leaked NASA report,Images allegedly leaked from NASA show cheese formations on the moon.,0
241,UN adopts climate change resolution,Field tests in Africa have shown significant reduction in malaria cases among children.,1
242,Shocking proof that dinosaurs still live in the Himalayas,A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
243,New species discovered in Amazon rainforest,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
244,"Aliens found living under Antarctica, whistleblower claims",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
245,"Economy shows signs of recovery, says central bank",Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
246,Moon made of cheese confirmed by leaked NASA report,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
247,WHO approves new malaria vaccine,The initiative will benefit over 10 million students by 2026.,1
248,Time travel possible with household blender,A man in Ohio claims to have bent time using a blender and a car battery.,0
249,Major breakthrough in battery technology,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
250,COVID vaccine gives people superpowers,A man in Ohio claims to have bent time using a blender and a car battery.,0
251,UN adopts climate change resolution,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
252,Scientists say Earth is flat again,A conspiracy site says vaccinated individuals are developing telekinesis.,0
253,WHO approves new malaria vaccine,The initiative will benefit over 10 million students by 2026.,1
254,"Drinking saltwater cures all diseases, experts say",Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
255,"Economy shows signs of recovery, says central bank",Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
256,Government to ban sleep by 2030 to boost productivity,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
257,Government launches new healthcare initiative,"In a move aimed at improving public welfare, the government has initiated a program to modernize hospitals.",1
258,Government to ban sleep by 2030 to boost productivity,A man in Ohio claims to have bent time using a blender and a car battery.,0
259,WHO approves new malaria vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
260,Time travel possible with household blender,Images allegedly leaked from NASA show cheese formations on the moon.,0
261,WHO approves new malaria vaccine,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
262,Moon made of cheese confirmed by leaked NASA report,A man in Ohio claims to have bent time using a blender and a car battery.,0
263,New species discovered in Amazon rainforest,Early trials show the vaccine triggers a strong immune response with minimal side effects.,1
264,Secret tunnel to Atlantis discovered in the Sahara,A former government agent claims extraterrestrials are controlling the weather.,0
265,NASA successfully lands rover on Mars,Scientists believe this discovery could reshape our understanding of biodiversity.,1
266,Government to ban sleep by 2030 to boost productivity,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
267,World leaders gather for peace summit,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
268,"Aliens found living under Antarctica, whistleblower claims",A conspiracy site says vaccinated individuals are developing telekinesis.,0
269,Researchers develop promising cancer vaccine,The Mars rover sent back high-resolution images confirming successful landing in Gale Crater.,1
270,Time travel possible with household blender,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
271,Major breakthrough in battery technology,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
272,COVID vaccine gives people superpowers,Hikers claim to have filmed a live dinosaur during an expedition in the Himalayas.,0
273,Education ministry rolls out digital classrooms,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
274,Shocking proof that dinosaurs still live in the Himalayas,A conspiracy site says vaccinated individuals are developing telekinesis.,0
275,New species discovered in Amazon rainforest,Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
276,Time travel possible with household blender,Explorers in the Sahara desert claim theyâve uncovered a glowing tunnel leading to Atlantis.,0
277,Major breakthrough in battery technology,The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
278,Scientists say Earth is flat again,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
279,"Economy shows signs of recovery, says central bank",Leaders from 100+ nations discussed conflict resolution and humanitarian aid.,1
280,Time travel possible with household blender,Leaked documents suggest a plan to eliminate sleep and replace it with energy pills.,0
281,"Economy shows signs of recovery, says central bank",The new lithium-silicon battery promises double the lifespan of traditional batteries.,1
282,"Drinking saltwater cures all diseases, experts say",A viral blog says scientists retracted round Earth theory due to 'new evidence.',0
283,Researchers develop promising cancer vaccine,The latest report indicates improved GDP growth and lower unemployment rates.,1
284,"Invisible car invented, but hidden by oil companies",An anonymous inventor says his invisible car was buried after threats from oil companies.,0
